,Age,Workclass,Education-Num,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,Hoursperweek,Country,income,prediction,index
18329,0.030670146,4,-0.03135939,0,4,1,4,0,-0.14591824,1.3343655,-0.03542877,39,False,False,0
997,0.69047326,1,1.1347215,0,4,1,4,1,-0.14591824,-0.21665621,1.4223646,39,True,False,1
13225,-1.2156247,4,-0.03135939,2,8,4,4,1,-0.14591824,-0.21665621,-0.44037136,39,False,False,2
6837,-1.1423132,7,-0.80874664,4,4,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,3
29132,0.8370962,6,1.1347215,2,12,4,4,1,-0.14591824,-0.21665621,-2.6270614,39,False,False,4
18728,1.4235879,2,1.1347215,0,10,0,4,0,-0.14591824,-0.21665621,0.77445644,39,False,False,5
14641,-1.2156247,4,-0.42005304,2,8,3,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,6
10573,0.39722744,7,-0.42005304,2,11,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,7
29713,-1.435559,2,-0.03135939,4,12,3,4,0,-0.14591824,-0.21665621,-1.9791532,39,False,False,8
12015,0.54385036,4,1.5234151,2,10,5,4,0,0.8950697,-0.21665621,-0.44037136,39,True,True,9
8696,-0.4091986,4,1.5234151,2,10,4,4,1,-0.14591824,-0.21665621,-0.2783943,39,True,True,10
1596,-0.4091986,2,-0.42005304,2,1,5,4,0,-0.14591824,-0.21665621,1.5843416,39,False,False,11
5245,0.69047326,1,1.1347215,0,4,0,4,1,-0.14591824,-0.21665621,0.3695138,39,False,False,12
10023,0.76378477,4,1.1347215,4,9,0,4,1,-0.14591824,-0.21665621,-1.2502565,39,False,False,13
18949,0.323916,4,-1.586134,2,1,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,14
31078,-1.5088705,4,-0.03135939,4,13,3,4,1,0.14872143,-0.21665621,-1.6551992,39,False,False,15
11252,-0.92237884,4,-0.03135939,4,6,2,1,1,-0.14591824,-0.21665621,0.2885253,30,False,False,16
22310,0.2506045,4,-0.42005304,5,12,1,4,0,-0.14591824,-0.21665621,0.3695138,39,False,False,17
3193,-0.4091986,4,-0.80874664,0,7,1,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,18
31344,0.4705389,4,-0.03135939,4,8,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,19
22264,-0.55582154,4,-0.03135939,4,12,2,4,0,-0.14591824,-0.21665621,-0.03542877,0,False,False,20
27624,-0.2625757,4,0.35733426,0,10,3,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,21
