,Age,Workclass,Education-Num,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,Hoursperweek,Country,income,prediction,index
18329,39.0,Private,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,625.0,40.0,United-States,False,False,0
997,48.0,Federal-gov,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,58.0,United-States,True,False,1
13225,22.0,Private,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,35.0,United-States,False,False,2
6837,23.0,State-gov,8.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,3
29132,50.0,Self-emp-not-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,8.0,United-States,False,False,4
18728,58.0,Local-gov,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,False,False,5
14641,22.0,Private,9.0,Married-civ-spouse,Other-service,Own-child,White,Male,0.0,0.0,50.0,United-States,False,False,6
10573,44.0,State-gov,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,7
29713,19.0,Local-gov,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,16.0,United-States,False,False,8
12015,46.0,Private,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688.0,0.0,35.0,United-States,True,True,9
8696,33.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,37.0,United-States,True,True,10
1596,33.0,Local-gov,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,60.0,United-States,False,False,11
5245,48.0,Federal-gov,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,45.0,United-States,False,False,12
10023,49.0,Private,13.0,Never-married,Priv-house-serv,Not-in-family,White,Male,0.0,0.0,25.0,United-States,False,False,13
18949,43.0,Private,6.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,14
31078,18.0,Private,10.0,Never-married,Tech-support,Own-child,White,Male,2176.0,0.0,20.0,United-States,False,False,15
11252,26.0,Private,10.0,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0.0,0.0,44.0,Philippines,False,False,16
22310,42.0,Private,9.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,45.0,United-States,False,False,17
3193,33.0,Private,8.0,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,40.0,United-States,False,False,18
31344,45.0,Private,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,19
22264,31.0,Private,10.0,Never-married,Sales,Other-relative,White,Female,0.0,0.0,40.0,?,False,False,20
27624,35.0,Private,11.0,Divorced,Prof-specialty,Own-child,Black,Male,0.0,0.0,40.0,United-States,False,False,21
3935,17.0,Private,7.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,False,False,22
27569,38.0,?,9.0,Divorced,?,Unmarried,Black,Female,0.0,0.0,40.0,United-States,False,False,23
29581,21.0,Private,10.0,Never-married,Sales,Other-relative,White,Female,0.0,0.0,40.0,United-States,False,False,24
16845,23.0,Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,False,False,25
20435,57.0,Self-emp-inc,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1902.0,30.0,United-States,True,True,26
9595,58.0,Local-gov,3.0,Divorced,Other-service,Other-relative,Black,Female,0.0,0.0,40.0,Haiti,False,False,27
16243,58.0,Self-emp-not-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,False,True,28
9852,53.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,True,False,29
26043,42.0,Private,11.0,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,False,False,30
3809,25.0,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,44.0,United-States,True,False,31
17841,49.0,Self-emp-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,False,False,32
11549,20.0,Private,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,False,False,33
16558,36.0,Private,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,False,False,34
25981,63.0,Private,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States,False,False,35
24393,23.0,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,38.0,United-States,False,False,36
30621,32.0,Local-gov,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,35.0,United-States,True,True,37
11930,26.0,Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,52.0,United-States,True,False,38
3682,38.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,50.0,United-States,False,False,39
20920,20.0,Private,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,20.0,United-States,False,False,40
19226,36.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,41
30126,28.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,42
30680,28.0,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,43
20764,30.0,Federal-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,False,False,44
1945,37.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,True,True,45
24685,44.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,United-States,False,False,46
9182,46.0,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,True,False,47
10900,30.0,State-gov,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,48
10076,24.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,Black,Male,0.0,0.0,20.0,United-States,False,False,49
29317,33.0,Private,8.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,50
3852,19.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,False,False,51
32238,47.0,Private,15.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,40.0,United-States,True,True,52
